Symbol,Industry,Latest,%Change,"1M #Hi",Trend,Opinion,"Wtd Alpha","52W %Chg","100D MA","50D MA","150D MA","20D MA","14D Rel Str","1Y vs IDX","YTD vs IDX","200D Avg Vol","Wkly Opts",Direction,Strength,"14D Stoch %K","50D RelVol"
STTK,"Medical - Biomedical",5.97,-2.61%,8,Buy,"100% Buy",+153.48,+392.15%,3.41,4.39,2.83,4.72,73.47,371.97,66.21,1021723,No,Strengthening,"Top 1%",89.28%,0.32
PWR,"Engineering & R&D Services",559.12,-1.37%,8,Buy,"100% Buy",+114.19,+125.76%,472.19,501.88,446.95,555.58,61.25,105.58,36.94,1060840,No,Strengthening,Maximum,77.43%,1.38
TALK,"Medical Information Systems",5.14,-0.19%,5,Buy,"100% Buy",+82.74,+86.23%,3.74,4.24,3.39,4.73,66.99,66.05,44.66,1917653,No,Strengthening,"Top 1%",95.97%,0.59
OBE,"Oil - C$ Exploration & Product",8.5,-1.05%,8,Buy,"100% Buy",+77.48,+64.38%,6.64,7.31,6.48,8.04,62.49,44.2,41.97,389746,No,Strengthening,"Top 1%",81.00%,1.04
LHX,"Aerospace - Defense",359.04,+0.32%,6,Buy,"100% Buy",+71.25,+70.72%,317.26,347.34,305.87,359.34,52.95,50.54,25.87,1283799,Yes,Strengthening,Maximum,63.28%,0.43
ROST,"Retail - Discount",206.19,-1.53%,6,Buy,"100% Buy",+70.57,+67.76%,182.97,195.8,171.88,205.24,56.18,47.58,17.89,2749025,Yes,Strengthening,Maximum,69.44%,0.62
TDAY,"Media Conglomerates",6.34,-0.78%,5,Buy,"100% Buy",+68.16,+113.83%,5.45,5.98,5,6.18,57.99,93.65,27.62,1680049,No,Average,Maximum,74.73%,0.52
HCA,"Medical Services",532.8,+0.04%,2,Buy,"100% Buy",+67.19,+70.15%,490.28,505.78,463.39,535.22,55.55,49.97,17.78,1293683,No,Strengthening,Maximum,43.29%,0.54
ADEA,"Technology Services",22.79,-0.35%,10,Buy,"100% Buy",+65.80,+65.72%,16.81,19.34,16.5,20.51,65.77,45.54,35.06,750416,No,Strengthening,Maximum,91.36%,0.83
NYT,"Publishing - Newspapers",79.31,+1.60%,11,Buy,"100% Buy",+65.01,+64.70%,68.75,73.92,65.13,78.16,57.33,44.52,16.51,1885028,No,Strongest,Maximum,51.32%,0.6
RTX,"Aerospace - Defense",204.42,+0.68%,5,Buy,"100% Buy",+59.31,+58.57%,187.7,199.06,178.17,204.34,52.76,38.39,14.77,5216444,Yes,Average,Maximum,56.85%,0.42
NOC,"Aerospace - Defense",733.34,-0.40%,5,Buy,"100% Buy",+57.72,+50.12%,629.33,687.28,617.01,732.32,56.18,29.94,32.22,815739,No,Strengthening,Maximum,53.38%,0.3
PBR.A,"Emerging Markets Integrated",16.78,-2.27%,13,Buy,"100% Buy",+55.85,+42.36%,12.8,13.98,12.35,15.58,69.34,22.18,52.62,8067346,No,Strengthening,"Top 1%",84.32%,1.16
NTCT,"Computer - Networks",29.99,-0.23%,5,Buy,"100% Buy",+45.88,+46.70%,27.86,28.45,26.86,29.63,57.69,26.52,14.04,556718,No,Strengthening,Strong,73.59%,0.39
SBRA,"REIT - Equity Trust Other",20.61,-0.82%,3,Buy,"100% Buy",+20.74,+22.15%,19.15,19.62,18.99,20.44,57.78,1.97,11.8,2708920,No,Strengthening,Maximum,67.18%,0.57
DLR,"REIT - Equity Trust Other",179.63,+0.25%,3,Buy,"88% Buy",+20.42,+23.19%,165.52,169.09,167.03,178.68,58.25,3.01,19.27,1820671,Yes,Average,Strong,69.27%,0.5
PAGP,"Oil - Production & Pipeline",23.14,+0.43%,11,Buy,"100% Buy",+20.38,+10.90%,19.72,21.28,19.28,22.68,60.1,-9.28,23.23,1591683,No,Strengthening,Maximum,61.78%,0.4
GTY,"REIT - Equity Trust Other",33.17,+0.42%,1,Buy,"100% Buy",+16.06,+9.47%,29.42,30.87,28.81,32.86,60.89,-10.71,24.01,413314,No,Strengthening,Maximum,69.45%,0.29
ARLP,Coal,27.19,-0.98%,7,Buy,"88% Buy",+12.14,+11.38%,24.67,25.3,24.46,26.69,63.78,-8.8,20.37,344040,No,Strengthening,Strong,75.97%,0.24
SBUX,"Retail - Restaurants",99.07,-1.11%,9,Buy,"100% Buy",+9.57,+3.76%,89.87,94.91,88.51,97.68,58.15,-16.42,21.4,9504077,Yes,Strengthening,Strong,79.52%,0.66
SUI,"REIT - Equity Trust Resident",134.43,-0.42%,6,Buy,"100% Buy",+8.45,+7.56%,127.11,129.06,127.08,134.05,58.41,-12.62,12.11,861437,No,Strengthening,Maximum,71.21%,0.46
MCW,"Auto - Truck Replacement Parts",6.97,+0.14%,4,Buy,"88% Buy",+0.43,-10.53%,5.8,6.27,5.68,6.92,64.44,-30.71,28.42,1854281,No,Strengthening,Strong,15.03%,0.45
HESM,"E&P MLP",39,+0.21%,8,Buy,"72% Buy",-1.11,-4.26%,35.06,36.38,36,38.45,62.33,-24.44,15.94,1577662,No,Strengthening,Average,67.83%,0.46
RSG,"Waste Removal Svcs",224.34,-0.64%,4,Buy,"24% Buy",-2.74,-1.71%,216.24,219.2,220.48,225.25,52.49,-21.89,9.39,1378504,No,Average,Weak,44.21%,0.49
TW,"Finance - Investment Brokers",124.42,+0.74%,10,Buy,"56% Buy",-3.75,-7.08%,109.96,112.57,112.66,121.64,63.78,-27.26,18.54,1410879,No,Strengthening,Soft,68.15%,0.27
"Downloaded from Barchart.com as of 03-13-2026 03:08pm CDT"
